Country or Area,Births,Population,Land Area,Life Expectancy
Afghanistan,1408000,32358260,652860,49
Albania,41000,3215988,27400,77
Algeria,712000,35980193,2381741,73
Angola,803000,19618432,1246700,51
Argentina,693000,40764561,2736690,76
Armenia,47000,3100236,28470,74
Australia,307000,22605732,7682300,82
Austria,74000,8413429,82523,81
Azerbaijan,184000,9306023,82663,71
Bahamas,5000,347176,10010,76
Bahrain,23000,1323535,771,75
Bangladesh,3016000,150493658,130170,69
Barbados,3000,273925,430,77
Belarus,107000,9559441,202910,70
Belgium,123000,10754056,30280,80
Belize,8000,317928,22810,76
Benin,356000,9099922,112760,56
Bhutan,15000,738267,38117,67
Bolivia (Plurinational State of),264000,10088108,1083300,67
Bosnia and Herzegovina,32000,3752228,51200,76
Botswana,47000,2030738,566730,53
Brazil,2996000,196655014,8358140,73
Brunei Darussalam,8000,405938,5270,78
Bulgaria,75000,7446135,108560,73
Burkina Faso,730000,16967845,273600,55
Burundi,288000,8575172,25680,50
Cambodia,317000,14305183,176520,63
Cameroon,716000,20030362,472710,52
Canada,388000,34349561,9093510,81
Cape Verde,10000,500585,4030,74
Central African Republic,156000,4486837,622980,48
Chad,511000,11525496,1259200,50
Chile,245000,17269525,743532,79
China,16364000,1347565324,9388211,73
Colombia,910000,46927125,1109500,74
Comoros,28000,753943,1861,61
Congo,145000,4139748,341500,57
Costa Rica,73000,4726575,51060,79
Côte d'Ivoire,679000,20152894,318000,55
Croatia,43000,4395560,55960,77
Cuba,110000,11253665,104020,79
Cyprus,13000,1116564,9240,80
Czech Republic,116000,10534293,77210,78
Democratic People's Republic of Korea,348000,24451285,120410,69
Democratic Republic of the Congo,2912000,67757577,2267050,48
Denmark,64000,5572594,42262,79
Djibouti,26000,905564,23180,58
Dominican Republic,216000,10056181,48310,73
Ecuador,298000,14666055,248360,76
Egypt,1886000,82536770,995450,73
El Salvador,126000,6227491,20720,72
Equatorial Guinea,26000,720213,28050,51
Eritrea,193000,5415280,101000,62
Estonia,16000,1340537,42390,75
Ethiopia,2613000,84734262,1000000,59
Fiji,18000,868406,18270,69
Finland,61000,5384770,303890,80
France,792000,63125894,547557,82
Gabon,42000,1534262,257670,63
Gambia,67000,1776103,10120,58
Georgia,51000,4329026,69490,74
Germany,699000,82162512,348900,80
Ghana,776000,24965816,227540,64
Greece,117000,11390031,128900,80
Grenada,2000,104890,340,76
Guatemala,473000,14757316,107160,71
Guinea,394000,10221808,245720,54
Guinea-Bissau,59000,1547061,28120,48
Guyana,13000,756040,196850,70
Haiti,266000,10123787,27560,62
Honduras,205000,7754687,111890,73
Hungary,100000,9966116,90530,74
Iceland,5000,324366,100250,82
India,27098000,1241491960,2973190,65
Indonesia,4331000,242325638,1811570,69
Iran (Islamic Republic of),1255000,74798599,1628760,73
Iraq,1144000,32664942,434320,69
Ireland,72000,4525802,68890,81
Israel,156000,7562194,21640,82
Italy,557000,60788694,294140,82
Jamaica,50000,2751273,10830,73
Japan,1073000,126497241,364560,83
Jordan,154000,6330169,88780,73
Kazakhstan,345000,16206750,2699700,67
Kenya,1560000,41609728,569140,57
Kuwait,50000,2818042,17820,75
Kyrgyzstan,131000,5392580,191800,68
Lao People's Democratic Republic,140000,6288037,230800,67
Latvia,24000,2243142,62180,73
Lebanon,65000,4259405,10230,73
Lesotho,60000,2193843,30360,48
Liberia,157000,4128572,96320,57
Libya,144000,6422772,1759540,75
Lithuania,35000,3307481,62650,72
Luxembourg,6000,515941,2590,80
Madagascar,747000,21315135,581800,67
Malawi,686000,15380888,94280,54
Malaysia,579000,28859154,328550,74
Maldives,5000,320081,300,77
Mali,728000,15839538,1220190,51
Malta,4000,417855,320,80
Mauritania,118000,3541540,1030700,59
Mauritius,16000,1306593,2030,73
Mexico,2195000,114793341,1943950,77
Micronesia (Federated States of),3000,111542,700,69
Mongolia,65000,2800114,1553560,68
Montenegro,8000,632261,13450,75
Morocco,620000,32272974,446300,72
Mozambique,889000,23929708,786380,50
Myanmar,824000,48336763,653080,65
Namibia,60000,2324004,823290,62
